station_name,agency,street,borough,postcode,latitude,longitude,no_of_ports,charger_types,public_charger_,fee_for_city_drivers,geometry
"DOE - 1230 Zerega Ave, Bronx",DOE,1230 Zerega Ave,Bronx,10462,40.833586,-73.845099,3,['Level 2 Charger'],No,No,POINT (-73.845099 40.833586)
"DOE - 525 West 50Th St, Manhattan",DOE,525 West 50Th St,Manhattan,10019,40.765234,-73.993076,2,['Level 2 Charger'],No,No,POINT (-73.993076 40.765234)
"DOE - 5-40 44Th Dr, Queens",DOE,5-40 44Th Dr,Queens,11101,40.749341,-73.954023,1,['Level 2 Charger'],No,No,POINT (-73.954023 40.749341)
"DOE - 49-44 Vernon Blvd, Queens",DOE,49-44 Vernon Blvd,Queens,11101,40.743099,-73.953992,1,['Level 2 Charger'],No,No,POINT (-73.953992 40.743099)
"DOF - 375 Pearl St, Manhattan",DOF,375 Pearl St,Manhattan,10038,40.710207,-74.001125,4,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.001125 40.710207)
"DOF - 31-46 Greenpoint Ave, Queens",DOF,31-46 Greenpoint Ave,Queens,11101,40.734714,-73.93697,2,['Level 2 Charger'],No,No,POINT (-73.93697 40.734714)
"DOF - 31-32 Greenpoint Ave, Queens",DOF,31-32 Greenpoint Ave,Queens,11101,40.73466,-73.93711,2,['Level 2 Charger'],No,No,POINT (-73.93711 40.73466)
"DOF - 3010 Starr Ave, Queens",DOF,3010 Starr Ave,Queens,11101,40.737775,-73.938082,2,['Level 3 Fast Charger'],No,No,POINT (-73.938082 40.737775)
"DOH - 5617 56Th Dr, Queens",DOH,5617 56Th Dr,Queens,11378,40.72441,-73.914492,2,['Level 2 Charger'],No,No,POINT (-73.914492 40.72441)
"DOH - 515 Putnam Ave, Brooklyn",DOH,515 Putnam Ave,Brooklyn,11221,40.685146,-73.940431,1,['EV Solar Arc Charger'],No,No,POINT (-73.940431 40.685146)
"DOT - 300 West 206th Street, Manhattan",DOT,300 West 206th Street,Manhattan,10034,40.862564,-73.916487,5,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.916487 40.862564)
"DOT - 41-54 22Nd St, Queens",DOT,41-54 22Nd St,Queens,11101,40.752701,-73.942118,6,['Level 2 Charger'],No,No,POINT (-73.942118 40.752701)
"DOT - 9 29Th St, Brooklyn",DOT,9 29Th St,Brooklyn,11232,40.661018,-74.004859,1,['EV Solar Arc Charger'],No,No,POINT (-74.004859 40.661018)
"DOT - 448 Hamilton Ave, Brooklyn",DOT,448 Hamilton Ave,Brooklyn,11232,40.670361,-73.997693,2,['Level 2 Charger'],No,No,POINT (-73.997693 40.670361)
