,agency,station_name,charger_types,no_of_ports,street,city,postcode,borough,public_charger_,fee_for_city_drivers,latitude,longitude,community_district,council_district,census_tract,bin,bbl,nta,station_id,geometry
34,DEP,"DEP - 59-17 Junction Blvd, Queens",['Level 2 Charger'],20,59-17 Junction Blvd,Flushing,11373,Queens,No,No,40.734606,-73.864774,404.0,21.0,455.0,4047310.0,4019180001.0,QN0402,urn:agentwin:city:ev-charging-station:e7344d7ade4c028800346a0dc85122cb642c62b03f11d0dcc1e8b8c356dffb27,POINT (-73.864774 40.734606)
35,DEP,"DEP - 96-08 57Th Ave, Queens",['Level 2 Charger'],10,96-08 57Th Ave,Corona,11368,Queens,No,No,40.73698,-73.864625,404.0,21.0,455.0,4047316.0,4019180055.0,QN0402,urn:agentwin:city:ev-charging-station:14ad3c03af2069103cf8156ee21c28c26e539497f2cf1d95b04b6807a7c21f3e,POINT (-73.864625 40.73698)
36,DEP,"DEP - 58-17 Junction Blvd, Queens",['Level 2 Charger'],6,58-17 Junction Blvd,Flushing,11373,Queens,No,No,40.735229,-73.865098,404.0,21.0,455.0,4047312.0,4019180025.0,QN0402,urn:agentwin:city:ev-charging-station:4f7114ff5cc43e30c688df5194ea4d629e46fc459cfa1a032cc071a4b507411a,POINT (-73.865098 40.735229)
37,DEP,"DEP - 28 Pike St, Manhattan",['Level 2 Charger'],2,28 Pike St,New York,10002,Manhattan,No,No,40.71282,-73.992461,103.0,1.0,8.0,,,MN0301,urn:agentwin:city:ev-charging-station:ad6a9414e97d3ac4252a4130444b4f52e2f9aacec6a0c16fbf7e25ba7cf23002,POINT (-73.992461 40.71282)
38,DEP,"DEP - 30 Pike St, Manhattan",['Level 3 Fast Charger'],1,30 Pike St,New York,10002,Manhattan,No,No,40.712735,-73.99245,103.0,1.0,8.0,1003286.0,1002750028.0,MN0301,urn:agentwin:city:ev-charging-station:3f0a4aa8bcd0db85fe4c158286ab4c0dc33ab817c9e71cd140689ab926fc4ac0,POINT (-73.99245 40.712735)
39,DEP,"DEP - 886 St Nicholas Ave, Manhattan",['Level 3 Fast Charger'],2,886 St Nicholas Ave,New York,10032,Manhattan,No,No,40.83028,-73.941602,109.0,9.0,23501.0,1075503.0,1020690026.0,MN0903,urn:agentwin:city:ev-charging-station:2a9b80740b15e10528a299729ed6724b1241804ed2cbfd951962b026f59e2d01,POINT (-73.941602 40.83028)
40,DEP,"DEP - 329 Greenpoint Ave, Brooklyn",['Level 2 Charger'],16,329 Greenpoint Ave,Brooklyn,11222,Brooklyn,No,No,40.731483,-73.946271,301.0,33.0,57902.0,3332517.0,3025250001.0,BK0101,urn:agentwin:city:ev-charging-station:bed650477ad869e1efe371115f8c616477f4d104c139e190ac4f24306f2f5c97,POINT (-73.946271 40.731483)
41,DEP,"DEP - 267 Greenpoint Ave, Brooklyn",['EV Solar Arc Charger'],2,267 Greenpoint Ave,Greenpoint,11222,Brooklyn,No,No,40.730718,-73.948891,301.0,33.0,57902.0,3398219.0,3025250001.0,BK0101,urn:agentwin:city:ev-charging-station:4f1cd5dea0db7c8d63f777b54dfecb17372e3d3cdf120e788ee52d9fcd75c650,POINT (-73.948891 40.730718)
42,DEP,"DEP - 751 Mill Road, Staten Island","['Level 2 Charger', 'Level 3 Fast Charger']",8,751 Mill Road,Staten Island,10306,Staten Island,No,No,40.552071,-74.116133,503.0,50.0,12805.0,5135536.0,5050670500.0,SI0301,urn:agentwin:city:ev-charging-station:73f731c4c90d0e34eef5dbffa1cd5ad74f669479ab2c514ca4dce020ab43c5ee,POINT (-74.116133 40.552071)
43,DEP,"DEP - 6700 Shore Rd, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",10,6700 Shore Rd,Brooklyn,11220,Brooklyn,No,No,40.6418,-74.034055,310.0,47.0,34.0,3391506.0,3058350001.0,BK1001,urn:agentwin:city:ev-charging-station:b5804cf9beec9e98a88df22b2b9fad69badc2c326a8f7c0105c02fe215dd87cd,POINT (-74.034055 40.6418)
44,DEP,"DEP - 1875 Ralph Ave, Brooklyn",['Level 3 Fast Charger'],1,1875 Ralph Ave,Bergen Beach,11234,Brooklyn,No,No,40.631422,-73.91852,318.0,46.0,69601.0,3398530.0,3083380001.0,BK1802,urn:agentwin:city:ev-charging-station:d2ba90f71354e3e868817452201bba8942a7f67c91d5b6a5de33c642323e0596,POINT (-73.91852 40.631422)
45,DEP,"DEP - 1801 Richmond Terr, Staten Island",['Level 3 Fast Charger'],5,1801 Richmond Terr,Staten Island,10310,Staten Island,No,No,40.637232,-74.125556,501.0,49.0,13302.0,5156437.0,5001850400.0,SI0106,urn:agentwin:city:ev-charging-station:fac90a634f3ada2ada825aca446f5f36730536f5e176aed9beef5724af71d6b6,POINT (-74.125556 40.637232)
46,DEP,"DEP - 133-25 32nd Ave, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",11,133-25 32nd Ave,Queens,11354,Queens,No,No,40.766974,-73.835301,407.0,20.0,869.0,4100766.0,4044060001.0,QN0707,urn:agentwin:city:ev-charging-station:4939a5ed205b42a8b839b0d2476a8ba39f8a7b3371e55399c7b794717cfed0c8,POINT (-73.835301 40.766974)
47,DEP,"DEP - 106-36 180Th St, Queens","['EV Solar Arc Charger', 'Level 2 Charger', 'Level 3 Fast Charger']",14,106-36 180Th St,Jamaica,11433,Queens,No,No,40.703128,-73.77772,412.0,27.0,414.0,4459328.0,4103350032.0,QN1202,urn:agentwin:city:ev-charging-station:e476bbacd8557b472c1fab0e1e30c5b1d88ff8948689ef4c53f504769b871f17,POINT (-73.77772 40.703128)
48,DEP,"DEP - 49-14 Fresh Meadow Ln, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",6,49-14 Fresh Meadow Ln,Queens,11365,Queens,No,No,40.747092,-73.794673,407.0,20.0,120701.0,4438242.0,4055800140.0,QN0705,urn:agentwin:city:ev-charging-station:c881b74071994d96f6eaaddda4a1c55f834c030e6ab491a26d2487664428225b,POINT (-73.794673 40.747092)
49,DEP,"DEP - 63 Flushing Ave, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",4,63 Flushing Ave,Brooklyn,11205,Brooklyn,No,No,40.69802,-73.974986,302.0,33.0,543.0,3335129.0,3020230001.0,BK0261,urn:agentwin:city:ev-charging-station:f84cdee1910913fa9d80f68258b937b2e003a854aff7270a892288e806403035,POINT (-73.974986 40.69802)
50,DEP,"DEP - 182 Joline Ave, Staten Island",['EV Solar Arc Charger'],2,182 Joline Ave,Staten Island,10307,Staten Island,No,No,40.508319,-74.235614,503.0,51.0,24401.0,5087579.0,5078410154.0,SI0305,urn:agentwin:city:ev-charging-station:32373d2783b83d3200d8c109a5b11e44cd330c09543e3bf60cf9655cfada22fc,POINT (-74.235614 40.508319)
