,id,name,power,operator,substation,voltage,frequency,geometry,substation_id,location_id,coordinate_system_id,position_point_id
112,383575269,Aqueduct Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.8203533 40.6702032),urn:agentwin:energy:substation:osm:383575269,urn:agentwin:energy:location:osm:383575269,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575269
113,383575270,Auburndale Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.79932334706947 40.77652895),urn:agentwin:energy:substation:osm:383575270,urn:agentwin:energy:location:osm:383575270,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575270
114,383575271,Beechhurst Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.79532702314816 40.78551265),urn:agentwin:energy:substation:osm:383575271,urn:agentwin:energy:location:osm:383575271,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575271
115,383575272,Brinkerhoff Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7880071 40.69466085),urn:agentwin:energy:substation:osm:383575272,urn:agentwin:energy:location:osm:383575272,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575272
116,383575274,Causeway Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.841842169395 40.77887155),urn:agentwin:energy:substation:osm:383575274,urn:agentwin:energy:location:osm:383575274,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575274
117,383575275,Cedar Manor Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.78515985258308 40.68897585),urn:agentwin:energy:substation:osm:383575275,urn:agentwin:energy:location:osm:383575275,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575275
118,383575276,Centerville Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.83642525599107 40.6745952),urn:agentwin:energy:substation:osm:383575276,urn:agentwin:energy:location:osm:383575276,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575276
119,383575277,Chisholm Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.85090965 40.7842067),urn:agentwin:energy:substation:osm:383575277,urn:agentwin:energy:location:osm:383575277,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575277
120,383575278,Clearview Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.78058121588417 40.77705505),urn:agentwin:energy:substation:osm:383575278,urn:agentwin:energy:location:osm:383575278,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575278
121,383575279,Creedmoor Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7251935 40.734040750000005),urn:agentwin:energy:substation:osm:383575279,urn:agentwin:energy:location:osm:383575279,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575279
122,383575280,Cunningham Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.784047 40.7279568),urn:agentwin:energy:substation:osm:383575280,urn:agentwin:energy:location:osm:383575280,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575280
123,383575281,Douglaston Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.74229745 40.7652421),urn:agentwin:energy:substation:osm:383575281,urn:agentwin:energy:location:osm:383575281,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575281
124,383575286,Montefiore Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.75084200602345 40.68384295),urn:agentwin:energy:substation:osm:383575286,urn:agentwin:energy:location:osm:383575286,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575286
125,383575287,North Hills Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.73738489916701 40.748654849999994),urn:agentwin:energy:substation:osm:383575287,urn:agentwin:energy:location:osm:383575287,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575287
126,383585969,,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.79062065 40.675857),urn:agentwin:energy:substation:osm:383585969,urn:agentwin:energy:location:osm:383585969,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585969
